9|7|10|0|6 , file disclosure vulnerability information exposure
9|7|10|0|6 , information disclosure heap base buffer craft ntfs file
5 , denial service memory consumption rewrite length dynamic array memory write datum single memory location large index number
4|0|6|7 , hard code credential read send mail change configuration
9|7|10|0|6 , sensitive information stack trace error condition
0|6|7 , overwrite arbitrary file symlink attack /var tmp nsswitch.conf.bak temporary file
9|7|10|0|6 , obtain sensitive information visit bvsmweb url
0|6|7 , untrusted search path gain privilege trojan horse program
9|7|10|0|6 , insufficient initialization memory kernel memory access small privileged kernel datum
9|7|10|0|6 , discover credential read html source code
3|9|7|6|0|1 , bypass configure authentication service pass alternate service command send localclient
0|6|7 , tampering datum denial service
9|7|10|0|6 , properly restrict access ip detail record ipdr obtain potentially sensitive mac address network utilization craft ipdr packet
9|7|10|0|6 , xml programmatic interface obtain sensitive meeting information craft url
0|6|7|9 , compromise oracle flexcube private banking impact additional product unauthorized update insert delete access unauthorized read access
3|9|7|6|0|1 , manage device install application write lua programming language write application run arbitrary lua code receive lua code load lua engine run code
0|6|7 , escape user input property code injection format=%27;alert(%27xss%27 url
9|7|10|0|6 , kill arbitrary process pid file modification kill -term ` cat /var run jabber/ filename.pid
3|9|7|6|0|1 , invoke mbean method execute arbitrary code unspecified vector
9|7|10|0|6 ,
3|9|7|6|0|1 , authentication bypass execute certain api gather token post request /oauth
0|6|7 , validation issue local file access
0|6|7 , dll injection execution arbitrary executable
9|7|10|0|6 , password request obtain sensitive information
9|7|10|0|6 , properly ship erratum
10 , insecure permission overwrite file denial service code execution
9|7|10|0|6 , obtain sensitive information navigate modify page_id read note content discover username json datum diff url
9|7|10|0|6 , memory corruption bounds write memory disclosure code execution
3|4|7|0|6 , security vulnerability bypass account lockout
0|6|7|9 , obtain sensitive information modify setting manage build agent unknown vector involve jms port
3|9|7|6|0|1 , bypass user 2 factor authentication method
0|6|7|10 , agent controller message validation input control agent process replace arbitrary file
0|6|7 , write arbitrary file symlink attack archive
5 , ftd crash reload affect device denial service dos condition watchdog timeout crash watchdog timeout crash crash reload affect device
0|6|7 , core bypass intend access restriction non alphanumeric menu parameter
0|6|7 , denial service application crash invalid length field udp ipv4 packet
0|6|7 , lack user input validation craft url pass external server ssrf attack
0|6|7 , gain bash shell access string injection
9|7|10|0|6 , secure trash trash file obtain sensitive information read storage medium read flash drive
0|6|7 , inject arbitrary command paste content
9|7|10|0|6 , obtain potentially sensitive information script access cookie
9|7|10|0|6 ,
10 , write protection lock modify subset flash memory
0|6|7|9 ,
9|7|10|0|6 ,
0|6|7 , intercept manipulate request trick user perform arbitrary action console clickjacking
9|7|10|0|6 , create buffer allocunsafe fill form network packet expose internal application memory
9|7|10|0|6 , liberal definition whitespace strip content allow invite request asterisk dialog process unvetted source
3|9|7|6|0|1 , obtain administrator access craft api request
0|6|7 , server template injection ssti
0|6|7|9 , access mongod delete pulp_database
0|6|7 , php loss information
9|7|10|0|6 , print login password print_password function
5 , memory leak memory leak system exception
0|6|7 , install arbitrary gem create gem gem different source
2 , authorization token session cookie cookie value send http:// link user plant link site obtain cookie value
3|9|7|6|0|1 , bypass host base authentication execute action spoof reverse dns hostname
0|6|7 , arbitrary write validate output buffer address value
0|6|7 , disclose sensitive account information plink
9|7|10|0|6 , defeat cryptographic protection mechanism knowledge key installation
3 ,
0|6|7 , rgw crash denial service
