7|9|6|0|10 , local privilege escalation
7|9|6|0|10 , obtain sensitive phone configuration information
3|7|6|9|1|0 , download log file
5 , memory leak denial service
7|9|6|0|10 , information disclosure
7|9|6|0|10 , bypass content security policy
7|6|0 , execute arbitrary command
3|10 , miss encryption sensitive datum information leak disclosure network process information intellectual property
7|6|0 , configuration issue
7|9|6|0|10 , access sensitive information
7|6|0 , untrusted search path gain privilege
7|9|6|0|10 , remote frame navigation access file local file system
7|9|6|0|10 , read srs secret
7|6|0 , crash system_server process active install session write embed apk file accelerate parsing apk parse apk parse apk file crash soft reboot system_server crash
3|7|6|9|1|0 , continue receive update issue
10 ,
7|9|6|0|10 , bypass intend access restriction discover credential key
7|9|6|0|10 , gain information relate memory layout blended attack
7|6|0 , arbitrary file overwrite
7|9|6|0|10 , discover dsa private key
7|9|6|0|10 , obtain potentially sensitive information
7|9|6|0|10 , unauthorized viewing response
7|9|6|0|10 , obtain potentially sensitive information
7|6|9|0 , bypass lock screen
3|7|9|6|4|0 , obtain credential use connect crowd 2
7|6|0 , execute arbitrary command load library directory execute arbitrary command
9|0 , session fixation attack obtain sensitive cookie information
7|9|6|0|10 , obtain private key
7|9|6|0|10 , information exposure
7|6|0 , wsp infinite loop packet injection
7|6|0 , craft input unintended input altered control flow arbitrary control resource arbitrary code execution
7|9|6|0|10 , steal dm crypt encryption key
7|6|0 , reverse path forward urpf bypass urpf validation
7|6|0 , symlink mishandling change arbitrary directory permission
7|9|6|0|10 , cross origin resource sharing access sensitive information
3|7|6|9|1|0 , man the- intercept inject disrupt junos space cluster operation
9|0 , session expiry time
7|9|6|0|10 , steal
7|6|9|0 , execute arbitrary command
7|6|0 , change ownership append datum arbitrary file
7|6|0 , privilege escalation
7|6|0 , instantiate arbitrary ruby object execute arbitrary command unsafe use constantize function
7|9|6|0|10 , automatic fallback discover tor client ip address automatic fallback
7|6|0 , denial service crash
7|6|0 , execute arbitrary code open file execute arbitrary code
7|9|6|0|10 , public key pinning pkp obtain sensitive information
7|9|6|0|10 , view content session session_admin directory expose active session cookie hijack user administrative session execute lua command
7|6|0 , image backup
7|6|0 , denial service invalid write operation application crash
7|6|0 , inject applet .applettrustsettings configuration file execute applet line break
7|9|6|0|10 , partially control bluetooth acquire sensitive information
7|6|9|0 , execute arbitrary code microsoft pdf remote code execution
7|6|0 , affected device reload denial service dos condition reload dos condition
7|9|6|0|10 , obtain sensitive information
7|6|0 , escape interactive tcl shell gain unauthorized access underlie operating system device escape scripting sandbox execute arbitrary command
7|6|0 , obtain potentially sensitive information kernel stack memory
7|6|0 , untrusted search path gain privilege
7|6|0 , denial service daemon crash unspecified impact
7|6|0 , load unsigned dll
5 , memory allocation excessive size value denial service
3|7|6|9|1|0 , second factor auth bypass insert user password
7|6|0 , achieve arbitrary code execution
7|9|6|0|10 , smart sms verification code access malicious website malicious app register sensitive information leak
7|6|0 , xml node comment attack
3|7|6|9|1|0 , modify wi fi network
7|9|6|0|10 , discover valid session identifier modify datum
7|6|0 , enumerate valid username
5 , return considerable result
5 , reference counter wrap free event gain root privilege escape jail
7|6|0 , incorrect access control
7|9|6|0|10 , obtain sensitive pathname information local file drag
7|6|0 , elevate privilege root level
7|6|0 ,
2 ,
7|9|6|0|10 , elevation privilege obtain access custom permission general bypass
3|7|9|6|4|0 , discover credential
7|6|0 , directory traversal access unintended filesystem location
7|9|6|0|10 , gain privilege
7|9|6|0|10 , uem user session perform administrative action context user
10 , creation arbitrary user administrator
9|8 , logic issue bypass gatekeeper check
3|7|9|6|4|0 , access system
7|9|6|0|10 , ip address
7|6|0 , arbitrary file delete attack availability impact
7|9|6|0|10 , read ~700 byte stack disclose sensitive information
2 , encrypted tunnel read traffic datum confidentiality
7|9|6|0|10 , information disclosure
3|7|6|9|1|0 , bypass authentication unauthenticated bind
2 , obtain cleartext content
7|6|0 , anr local denial service
7|6|0 , execute arbitrary code
7|6|0 , page reload create modal alert message social engineering attack
7|6|0 , denial service ssh screen process crash
7|9|6|0|10 , execute arbitrary javascript code obtain sensitive information
7|6|4|0 , ssh permanent enable wan ssh access terminal shell obtain unrestricted root privilege
7|6|9|0 , export site redirect
7|6|9|0 , bypass intend access restriction
3|7|6|9|1|0 , inject request session session fixation attack
7|9|6|0|10 , compromise solaris unauthorized read access
7|6|4|0 , obtain hard code user credential
2 , capture potential plain text communication access sensitive information
7|6|0 , target outside extract archive
7|6|0 , denial service dos condition affect device crash reload dos condition
7|6|0 , execute arbitrary code denial service memory consumption
3|7|9|6|4|0 , information disclosure obtain equivalent user password logon backend system attack
7|6|0 , bind write
7|6|0 , alter environment variable
7|6|10|0 , bypass file path filtering
7|6|0 , gain privilege
7|9|6|0|10 , obtain sensitive information kernel stack memory
7|6|9|0 , denial service application crash
7|6|0 , execute arbitrary command execute arbitrary command
7|9|6|0|10 , escalation privilege
7|6|0 , escalation privilege local access
7|6|4|0 , instance nfx deployment
7|6|0 , arbitrary code execution
7|9|6|0|10 , bypass origin policy obtain sensitive information
3|7|6|9|1|0 , authentication issue leak sensitive user information
7|6|9|0 , elevation privilege execute arbitrary code compromise privileged process
2 , obtain sensitive cleartext information
7|6|0 , generate non standard file symlink device node break confinement denial service
3|7|6|9|1|0 , bypass authentication password
2 , connect browser look- view legitimate user network traffic record monitor interaction web service obtain information user supply
7|6|0 , run privileged cisco ios command execute arbitrary command
7|9|6|0|10 , obtain sensitive information
7|6|0 , execute arbitrary os command
7|9|6|0|10 , obtain sensitive information
3|7|6|9|1|0 , bypass access control access entire application
7|6|0 , dll injection elevate privilege
7|6|0 , craft file deliver client
7|9|6|0|10 , read arbitrary application flash storage access arbitrary application javascript instance
3|7|6|9|1|0 ,
7|6|0 , overwrite append arbitrary datum system file overwrite append arbitrary datum system file
7|6|0 , logic issue
7|6|0 , bypass isolation protection mechanism
7|9|6|0|10 , log run specially craft application
7|6|0 , privilege elevation craft specific packet gain elevate privilege
7|6|0 , denial service resource consumption bypass mass assignment protection mechanism creation arbitrary ruby symbol internal object unsafe object creation
7|9|6|0|10 , information disclosure hyper v information disclosure
7|9|6|0|10 , expose credential set splash authentication credential splash request credential
7|9|6|0|10 , predictable database backup file location
7|6|0 , denial service memory corruption host crash execute arbitrary code
7|6|0 , javascript injection compromise normal service
7|9|6|0|10 , local privilege elevation overwrite executable execute arbitrary code
7|9|6|0|10 , http access web console read session cookie
7|6|0 ,
7|6|0 , denial service bsod unspecified impact
7|9|6|0|10 ,
3|7|9|6|4|0 , compromise user account
