9|10|0|6|7 , file disclosure vulnerability information exposure
9|10|0|6|7 , information disclosure heap base buffer
5 , denial service memory consumption
0|6|4|7 , read send mail change configuration
0|6|7 , denial service crash rpc marshalling error
9|10|0|6|7 , sensitive information
0|6|7 , overwrite arbitrary file
9|10|0|6|7 , obtain sensitive information
5 , denial service application crash
0|6|7 , untrusted search path gain privilege
9|10|0|6|7 , kernel memory access small privileged kernel datum
9|10|0|6|7 , discover credential
3|9|1|0|6|7 , bypass authentication obtain access administrator account
0|9|6|7 , exposure product restrict unauthorized access gain access product allow change product configuration
3|9|1|0|6|7 , bypass configure authentication service
3|9|1|0|6|7 , execute soap command access arbitrary tpm functionality
0|6|7 , tampering datum denial service
9|10|0|6|7 , ipdr obtain potentially sensitive mac address network utilization
9|10|0|6|7 , xml programmatic interface obtain sensitive meeting information
0|9|6|7 , compromise oracle flexcube private banking impact additional product unauthorized update insert delete access unauthorized read access
3|9|1|0|6|7 , manage device install application write lua programming language write application run arbitrary lua code receive lua code load lua engine run code
0|6|7 , escape user input property code injection
9|10|0|6|7 , kill arbitrary process pid file modification
3|9|1|0|6|7 , invoke mbean method execute arbitrary code unspecified vector
0|6|7 , execute arbitrary command
3|9|1|0|6|7 , authentication bypass execute certain api
0|6|7 , execute arbitrary command
0|6|7 , local file access
0|6|7 , dll injection execution arbitrary executable
9|10|0|6|7 , obtain sensitive information
9|10|0|6|7 ,
10 , overwrite file denial service code execution
3|9|1|0|6|7 , bypass authentication dialog screen saver send keystroke process handling keyboard focus
9|10|0|6|7 , obtain sensitive information
9|10|0|6|7 , memory corruption bounds write memory disclosure code execution
3|0|6|4|7 , security vulnerability bypass account lockout
0|9|6|7 , obtain sensitive information modify setting manage build agent
3|9|1|0|6|7 , bypass user 2 factor authentication method
0|10|6|7 , control agent process replace arbitrary file
0|6|7 , write arbitrary file
5 , crash reload affect device denial service dos condition watchdog timeout crash watchdog timeout crash crash reload affect device
0|6|7 , bypass intend access restriction
0|6|7 , craft url pass external server ssrf attack
0|6|7 , denial service application crash
0|6|7 , gain bash shell access string injection
9|10|0|6|7 , secure trash trash file obtain sensitive information read storage medium
0|6|7 , inject arbitrary command paste content
9|10|0|6|7 , obtain potentially sensitive information
10 , write protection lock modify subset flash memory
0|6|7 , intercept manipulate request trick user perform arbitrary action console clickjacking
9|10|0|6|7 , create buffer allocunsafe expose internal application memory
9|10|0|6|7 , strip content allow invite request asterisk dialog process unvetted source
3|9|1|0|6|7 , obtain administrator access
0|6|7 , server template injection ssti
0|9|6|7 , access mongod delete pulp_database
0|6|7 , loss information
9|10|0|6|7 , print login password
5 , memory leak memory leak system exception
0|6|7 , install arbitrary gem
2 , authorization token session cookie cookie value obtain cookie value
3|9|1|0|6|7 , bypass host base authentication execute action
0|6|7 , arbitrary write
0|6|7 , disclose sensitive account information
9|10|0|6|7 , defeat cryptographic protection mechanism
0|6|7 , authenticode signature execute arbitrary code corruption validation
0|6|7 , rgw crash denial service
9|10|0|6|7 , obtain sensitive information
9|10|0|6|7 , read source code jhtml file
9|10|0|6|7 , obtain sensitive information
3|9|1|0|6|7 , authentication vulnerability
0|6|7 , read arbitrary file
0|6|4|7 , outbound communication external component encryption internal datum
3|9|1|0|6|7 ,
0|9|6|7 , affect confidentiality integrity
1|3 , job isolation escape elevate privilege data confidentiality integrity
9|10|0|6|7 , obtain sensitive information
3|9|1|0|6|7 , remote code execution
0|6|7 , determine existence arbitrary file url obtain file url content parse error xml external entity aka xxe
9|10|0|6|7 , limited plaintext disclosure disclosure plaintext content
9|10|0|6|7 , internal state tracking obtain portion previously access random value bypass protection mechanism
0|6|7 , overwrite arbitrary file symlink attack
0|6|4|7 ,
5 , memory leak
3|9|0|6|4|7 , compromise affected bluecats network implementation gain physical control ios device compromise
0|6|7 , obtain sensitive information
0|6|7 , remote code execution remote code execution
0|6|7 , gain write access file
0|6|7 , open redirect redirect user arbitrary web site phishing attack insecure redirect
9|10|0|6|7 , disclose presence arbitrary file assess
0|6|7 , escalation privilege local access
9|10|0|6|7 , information leak download mcafee product package install machine policy detail
0|6|7 , unspecified impact attack vector
3|9|1|0|6|7 , spoof arbitrary user
0|6|7 , bypass hostname specific url check
2 , logging session cookie impersonation user
0|6|7 ,
0|9|6|7 , authenticate bypass intended access restriction
9|10|0|6|7 , obtain sensitive information local sandbox vulnerability
3|9|1|0|6|7 , bypass authentication application servlet
0|6|7 , denial service invalid 0x00 write operation daemon crash
9|10|0|6|7 , obtain sensitive information
9|10|0|6|7 , access datum outside permission level access sensitive datum
9|10|0|6|7 , compromise oracle hospitality suite8 impact additional product unauthorized read access
0|6|7 , dynamic library loading arbitrary code execution
0|6|7 , denial service routing engine reload
9|10|0|6|7 , guess token value create backup
3|9|0|6|4|7 , protection secret
10 , view submission
0|6|7 , spoof signature saml 1 response denial service memory consumption
0|9|6|7 , affect confidentiality integrity availability
0|6|7 , denial service dos attack affect device exhaust available cpu resource prevent email process dos condition
0|6|7 , force upload arbitrary local file
0|6|7 , escalation privilege local access
0|6|7 , dos vulnerability send craft packet affected device deny service
0|9|6|7 , access control creation tcp udp rule gain access unauthorized resource
0|6|7 , input validation bypass unauthorized information modification
9|10|0|6|7 , obtain user id meeting detail authentication token
0|6|7 , spoof url user interface
0|6|7 , privilege escalation modify run kernel extension
9|10|0|6|7 , contain cleartext key obtain sensitive information
0|6|7 , dll search order control system
0|6|7 , denial service
3|9|1|0|6|7 , reboot execute certain instruction unexpected behavior
0|6|7 , denial service application crash
0|6|7 , denial service general protection fault system crash
3|9|1|0|6|7 , read message arbitrary user
9|10|0|6|7 , information disclosure
10 , escalation privilege
0|6|7 , spoof ssl server
9|10|0|6|7 , obtain sensitive information
0|6|7 , append arbitrary new exist file
9|10|0|6|7 , obtain real e mail address
0|6|7 , denial service reboot
3|9|1|0|6|7 , change admin password disable security requirement modify dns setting
9|10|0|6|7 , dns prefetching domain determine network location application user
9|10|0|6|7 , insecure permission issue guest user access private information code information
